"STATION"     ,"NAME"                  ,"LATITUDE"         ,"LONGITUDE"         ,"ELEVATION" ,"DATE"       ,"DAPR"  ,"DAPR_ATTRIBUTES" ,"MDPR" ,"MDPR_ATTRIBUTES" ,"PRCP" ,"PRCP_ATTRIBUTES" ,"SNOW" ,"SNOW_ATTRIBUTES" ,"SNWD" ,"SNWD_ATTRIBUTES" ,"WESD" ,"WESD_ATTRIBUTES" ,"WESF" ,"WESF_ATTRIBUTES" ,"WT05"  ,"WT05_ATTRIBUTES"
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-01" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-02" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-03" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-04" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"5.5"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-05" ,        ,                  ,       ,                  ,"0.08" ,",,N"             ,"0.8"  ,",,N"             ,"6.5"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-06" ,        ,                  ,       ,                  ,"0.02" ,",,N"             ,"0.2"  ,",,N"             ,"6.5"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-07" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-08" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-09" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-10" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
"US1COYU0062" ,"VERNON 3.6 NNE, CO US" ,"39.97743"         ,"-102.250747"       ,"1164.0"    ,"2024-01-11" ,        ,                  ,       ,                  ,"0.00" ,",,N"             ,"0.0"  ,",,N"             ,"6.0"  ,",,N"             ,       ,                  ,       ,                  ,        ,
